Episode,Step,Wall1,Wall2,Time,PosX,PosY,PosZ,RotY,Reward
1,1,0,0,0,-3,5.4125,0,0,0
1,2,0,0,0.02,-3.4,5.4125,0,7.2,-0.0001
1,3,0,0,0.04,-3.003154,5.4125,-0.05013329,7.2,-0.0002
1,4,0,0,0.06,-2.757991,5.4125,-0.3661953,7.2,-0.0003
1,5,0,0,0.08,-3.154837,5.4125,-0.316062,-2.980232E-08,-0.0004
1,6,0,0,0.09999999,-2.871994,5.4125,-0.5989047,352.8,-0.0005
1,7,0,0,0.12,-2.871994,5.4125,-0.5989047,345.6,-0.0006
1,8,0,0,0.14,-3.259428,5.4125,-0.6983808,338.4,-0.0007
1,9,0,0,0.16,-3.112178,5.4125,-1.070291,338.4,-0.0008
1,10,0,0,0.18,-2.740267,5.4125,-0.9230413,338.4,-0.0009
1,11,0,0,0.2,-2.593017,5.4125,-1.294952,338.4,-0.0009999999
1,12,0,0,0.22,-2.593017,5.4125,-1.294952,338.4,-0.0011
1,13,0,0,0.24,-2.225915,5.4125,-1.453811,345.6,-0.0012
1,14,0,0,0.26,-2.613348,5.4125,-1.553287,338.4,-0.0013
1,15,0,0,0.28,-2.772207,5.4125,-1.920389,338.4,-0.0014
1,16,0,0,0.3,-2.772207,5.4125,-1.920389,338.4,-0.0015
1,17,0,0,0.32,-2.405105,5.4125,-2.079248,338.4,-0.0016
1,18,0,0,0.34,-2.246246,5.4125,-1.712146,331.2,-0.0017
1,19,0,0,0.36,-2.13465,5.4125,-1.328028,323.9999,-0.0018
1,20,0,0,0.38,-1.811044,5.4125,-1.092914,323.9999,-0.001899999
1,21,0,0,0.4,-1.811044,5.4125,-1.092914,323.9999,-0.001999999
1,22,0,0,0.42,-1.811044,5.4125,-1.092914,316.7999,-0.002099999
1,23,0,0,0.44,-1.519457,5.4125,-0.8190948,323.9999,-0.0022
1,24,0,0,0.46,-1.284342,5.4125,-1.142701,316.7999,-0.0023
1,25,0,0,0.48,-1.010523,5.4125,-1.434289,309.5999,-0.0024
1,26,0,0,0.5,-0.7555541,5.4125,-1.126083,302.3999,-0.0025
1,27,0,0,0.52,-0.7555541,5.4125,-1.126083,295.1999,-0.0026
1,28,0,0,0.54,-0.5852431,5.4125,-0.7641516,295.1999,-0.0027
1,29,0,0,0.56,-0.4149321,5.4125,-0.4022204,295.1999,-0.0028
1,30,0,0,0.58,-0.03858015,5.4125,-0.2667245,287.9999,-0.0029
1,31,0,0,0.6,-0.03858016,5.4125,-0.2667245,287.9999,-0.003
1,32,0,0,0.62,0.3418427,5.4125,-0.3903304,280.7999,-0.0031
1,33,0,0,0.64,0.2668911,5.4125,-0.7832454,273.5999,-0.0032
1,34,0,0,0.66,0.5669348,5.4125,-0.5187199,266.3998,-0.0033
1,35,0,0,0.68,0.5418174,5.4125,-0.1195093,259.1998,-0.0034
1,36,0,0,0.7,0.5418174,5.4125,-0.1195093,251.9998,-0.0035
1,37,0,0,0.72,0.7234125,5.4125,0.2368939,259.1998,-0.0036
1,38,0,0,0.74,1.116327,5.4125,0.3118476,266.3998,-0.0037
1,39,0,0,0.76,1.116327,5.4125,0.3118476,266.3998,-0.003800001
1,40,0,0,0.78,1.273729,5.4125,0.6415988,273.5999,-0.003900001
1,41,0,0,0.8,1.298844,5.4125,1.04081,266.3998,-0.004000001
1,42,0,0,0.82,1.273726,5.4125,1.44002,259.1998,-0.0041
1,43,0,0,0.84,1.34868,5.4125,1.047105,259.1998,-0.0042
1,44,0,0,0.86,1.273726,5.4125,1.44002,251.9998,-0.0043
1,45,0,0,0.88,1.273726,5.4125,1.44002,244.7998,-0.0044
1,46,0,0,0.9,1.40922,5.4125,1.816373,237.5998,-0.0045
1,47,0,0,0.92,1.194889,5.4125,2.154103,230.3998,-0.0046
1,48,0,0,0.94,0.9399178,5.4125,2.462308,223.1998,-0.004699999
1,49,0,0,0.96,0.9399178,5.4125,2.462308,215.9998,-0.004799999
1,50,0,0,0.98,0.6163102,5.4125,2.697421,208.7998,-0.004899999
1,51,0,0,1,0.6163102,5.4125,2.697421,208.7998,-0.004999999
1,52,0,0,1.02,0.6163102,5.4125,2.697421,201.5998,-0.005099999
1,53,0,0,1.04,0.2443991,5.4125,2.844669,194.3998,-0.005199999
1,54,0,0,1.06,-0.1430345,5.4125,2.944144,194.3998,-0.005299998
1,55,0,0,1.08,-0.3466522,5.4125,3.28844,187.1998,-0.005399998
1,56,0,0,1.1,-0.7434982,5.4125,3.338572,179.9998,-0.005499998
1,57,0,0,1.12,-1.02634,5.4125,3.055728,179.9998,-0.005599998
1,58,0,0,1.14,-1.309184,5.4125,3.33857,179.9998,-0.005699998
1,59,0,0,1.16,-1.592027,5.4125,3.621412,172.7998,-0.005799998
1,60,0,0,1.18,-1.592027,5.4125,3.621412,165.5998,-0.005899997
1,61,0,0,1.2,-1.691504,5.4125,4.008845,158.3998,-0.005999997
1,62,0,0,1.22,-1.850363,5.4125,3.641742,151.1998,-0.006099997
1,63,0,0,1.24,-2.200885,5.4125,3.44904,143.9998,-0.006199997
1,64,0,0,1.26,-2.436,5.4125,3.772646,136.7998,-0.006299997
1,65,0,0,1.28,-2.436,5.4125,3.772646,136.7998,-0.006399997
1,66,0,0,1.3,-2.16218,5.4125,3.48106,129.5998,-0.006499996
1,67,0,0,1.32,-2.16218,5.4125,3.48106,122.3998,-0.006599996
1,68,0,0,1.34,-2.499912,5.4125,3.69539,115.1999,-0.006699996
1,69,0,0,1.36,-2.364416,5.4125,3.319037,107.9999,-0.006799996
1,70,0,0,1.38,-2.488021,5.4125,2.938614,100.7999,-0.006899996
1,71,0,0,1.4,-2.488021,5.4125,2.938614,93.59987,-0.006999996
1,72,0,0,1.42,-2.488021,5.4125,2.938614,93.59987,-0.007099995
1,73,0,0,1.44,-2.488021,5.4125,2.938614,86.39987,-0.007199995
1,74,0,0,1.46,-2.887232,5.4125,2.913497,79.19987,-0.007299995
1,75,0,0,1.48,-3.112065,5.4125,2.582664,71.99988,-0.007399995
1,76,0,0,1.5,-3.29366,5.4125,2.226262,71.99988,-0.007499995
1,77,0,0,1.52,-3.29366,5.4125,2.226262,71.99988,-0.007599995
1,78,0,0,1.54,-2.937257,5.4125,2.044666,71.99988,-0.007699994
1,79,0,0,1.56,-2.556835,5.4125,2.168274,71.99988,-0.007799994
1,80,0,0,1.58,-2.433227,5.4125,1.787851,71.99988,-0.007899994
1,81,0,0,1.6,-2.614823,5.4125,1.431448,71.99988,-0.007999994
1,82,0,0,1.62,-2.971226,5.4125,1.613044,64.79988,-0.008099994
1,83,0,0,1.64,-3.10672,5.4125,1.236691,57.59988,-0.008199994
1,84,0,0,1.66,-2.892388,5.4125,0.8989606,57.59988,-0.008299993
1,85,0,0,1.68,-3.230119,5.4125,0.6846291,50.39988,-0.008399993
1,86,0,0,1.7,-3.230119,5.4125,0.6846291,57.5999,-0.008499993
1,87,0,0,1.72,-3.56785,5.4125,0.4702978,50.39989,-0.008599993
1,88,0,0,1.74,-3.605493,5.4125,0.07207298,50.39989,-0.008699993
1,89,0,0,1.76,-3.350523,5.4125,-0.2361318,43.19989,-0.008799993
1,90,0,0,1.78,-3.337958,5.4125,-0.6359345,35.99989,-0.008899992
1,91,0,0,1.8,-3.337958,5.4125,-0.6359345,28.79989,-0.008999992
1,92,0,0,1.82,-3.530658,5.4125,-0.9864576,28.79989,-0.009099992
1,93,0,0,1.84,-3.180135,5.4125,-1.179158,28.79989,-0.009199992
1,94,0,0,1.86,-3.530658,5.4125,-0.9864576,21.59989,-0.009299992
1,95,0,0,1.88,-3.158747,5.4125,-1.133707,21.59989,-0.009399991
1,96,0,0,1.9,-2.786836,5.4125,-1.280956,21.59989,-0.009499991
1,97,0,0,1.92,-2.934085,5.4125,-1.652867,21.59989,-0.009599991
